ΚΑΤΑ ΜΑΡΚΟΝ 
Mk 1:1	Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ ⸀χριστοῦ. 
Mk 6:38	ὁ δὲ λέγει αὐτοῖς· Πόσους ⸂ἔχετε ἄρτους⸃; ⸀ὑπάγετε ἴδετε. καὶ γνόντες λέγουσιν· Πέντε, καὶ δύο ἰχθύας. 
Mk 6:39	καὶ ἐπέταξεν αὐτοῖς ⸀ἀνακλῖναι πάντας συμπόσια συμπόσια ἐπὶ τῷ χλωρῷ χόρτῳ. 
Mk 6:40	καὶ ἀνέπεσαν πρασιαὶ πρασιαὶ ⸀κατὰ ἑκατὸν καὶ ⸁κατὰ πεντήκοντα. 
Mk 6:41	καὶ λαβὼν τοὺς πέντε ἄρτους καὶ τοὺς δύο ἰχθύας ἀναβλέψας εἰς τὸν οὐρανὸν εὐλόγησεν καὶ κατέκλασεν τοὺς ἄρτους καὶ ἐδίδου τοῖς μαθηταῖς ⸀αὐτοῦ ἵνα ⸀παρατιθῶσιν αὐτοῖς, καὶ τοὺς δύο ἰχθύας ἐμέρισεν πᾶσιν. 
Mk 6:42	καὶ ἔφαγον πάντες καὶ ἐχορτάσθησαν· 
Mk 6:43	καὶ ἦραν ⸂κλάσματα δώδεκα κοφίνων πληρώματα⸃ καὶ ἀπὸ τῶν ἰχθύων. 
Mk 6:44	καὶ ἦσαν οἱ φαγόντες ⸂τοὺς ἄρτους⸃ πεντακισχίλιοι ἄνδρες. 
Mk 6:45	Καὶ ⸀εὐθὺς ἠνάγκασεν τοὺς μαθητὰς αὐτοῦ ἐμβῆναι εἰς τὸ πλοῖον καὶ προάγειν ⸂εἰς τὸ πέραν⸃ πρὸς Βηθσαϊδάν, ἕως αὐτὸς ⸀ἀπολύει τὸν ὄχλον. 
Mk 6:46	καὶ ἀποταξάμενος αὐτοῖς ἀπῆλθεν εἰς τὸ ὄρος προσεύξασθαι. 
Mk 6:47	Καὶ ὀψίας γενομένης ἦν τὸ πλοῖον ἐν μέσῳ τῆς θαλάσσης, καὶ αὐτὸς μόνος ἐπὶ τῆς γῆς. 
Mk 6:48	καὶ ⸀ἰδὼν αὐτοὺς βασανιζομένους ἐν τῷ ἐλαύνειν, ἦν γὰρ ὁ ἄνεμος ἐναντίος ⸀αὐτοῖς, περὶ τετάρτην φυλακὴν τῆς νυκτὸς ἔρχεται πρὸς αὐτοὺς περιπατῶν ἐπὶ τῆς θαλάσσης· καὶ ἤθελεν παρελθεῖν αὐτούς. 
Mk 6:49	οἱ δὲ ἰδόντες αὐτὸν ⸂ἐπὶ τῆς θαλάσσης περιπατοῦντα⸃ ἔδοξαν ⸂ὅτι φάντασμά ἐστιν⸃ καὶ ἀνέκραξαν, 
Mk 6:50	πάντες γὰρ αὐτὸν εἶδον καὶ ἐταράχθησαν. ⸂ὁ δὲ εὐθὺς⸃ ἐλάλησεν μετ’ αὐτῶν, καὶ λέγει αὐτοῖς· Θαρσεῖτε, ἐγώ εἰμι, μὴ φοβεῖσθε. 
Mk 6:51	καὶ ἀνέβη πρὸς αὐτοὺς εἰς τὸ πλοῖον, καὶ ἐκόπασεν ὁ ἄνεμος. καὶ λίαν ⸂ἐκ περισσοῦ⸃ ἐν ἑαυτοῖς ⸀ἐξίσταντο, 
Mk 6:52	οὐ γὰρ συνῆκαν ἐπὶ τοῖς ἄρτοις, ⸂ἀλλ’ ἦν⸃ αὐτῶν ἡ καρδία πεπωρωμένη. 
Mk 6:53	Καὶ διαπεράσαντες ⸂ἐπὶ τὴν γῆν ἦλθον εἰς⸃ Γεννησαρὲτ καὶ προσωρμίσθησαν. 
Mk 6:54	καὶ ἐξελθόντων αὐτῶν ἐκ τοῦ πλοίου ⸀εὐθὺς ἐπιγνόντες αὐτὸν 
Mk 6:55	⸂περιέδραμον ὅλην τὴν χώραν ἐκείνην καὶ⸃ ἤρξαντο ἐπὶ τοῖς κραβάττοις τοὺς κακῶς ἔχοντας περιφέρειν ὅπου ἤκουον ⸀ὅτι ἐστίν. 
Mk 6:56	καὶ ὅπου ἂν εἰσεπορεύετο εἰς κώμας ἢ ⸂εἰς πόλεις ἢ εἰς⸃ ἀγροὺς ἐν ταῖς ἀγοραῖς ⸀ἐτίθεσαν τοὺς ἀσθενοῦντας, καὶ παρεκάλουν αὐτὸν ἵνα κἂν τοῦ κρασπέδου τοῦ ἱματίου αὐτοῦ ἅψωνται· καὶ ὅσοι ἂν ⸀ἥψαντο αὐτοῦ ἐσῴζοντο. 
Mk 7:1	Καὶ συνάγονται πρὸς αὐτὸν οἱ Φαρισαῖοι καί τινες τῶν γραμματέων ἐλθόντες ἀπὸ Ἱεροσολύμων 
Mk 7:2	καὶ ἰδόντες τινὰς τῶν μαθητῶν αὐτοῦ ⸂ὅτι κοιναῖς χερσίν, τοῦτ’ ἔστιν ἀνίπτοις, ἐσθίουσιν⸃ ⸀τοὺς ⸀ἄρτους — 
Mk 7:3	οἱ γὰρ Φαρισαῖοι καὶ πάντες οἱ Ἰουδαῖοι ἐὰν μὴ πυγμῇ νίψωνται τὰς χεῖρας οὐκ ἐσθίουσιν, κρατοῦντες τὴν παράδοσιν τῶν πρεσβυτέρων, 
Mk 7:4	καὶ ἀπ’ ⸀ἀγορᾶς ἐὰν μὴ ⸀βαπτίσωνται οὐκ ἐσθίουσιν, καὶ ἄλλα πολλά ἐστιν ἃ παρέλαβον κρατεῖν, βαπτισμοὺς ποτηρίων καὶ ξεστῶν καὶ χαλκίων ⸂καὶ κλινῶν⸃— 
Mk 7:5	⸀καὶ ἐπερωτῶσιν αὐτὸν οἱ Φαρισαῖοι καὶ οἱ γραμματεῖς· Διὰ τί ⸂οὐ περιπατοῦσιν οἱ μαθηταί σου⸃ κατὰ τὴν παράδοσιν τῶν πρεσβυτέρων, ἀλλὰ ⸀κοιναῖς χερσὶν ἐσθίουσιν τὸν ἄρτον; 
Mk 7:6	ὁ ⸀δὲ εἶπεν ⸀αὐτοῖς· Καλῶς ἐπροφήτευσεν Ἠσαΐας περὶ ὑμῶν τῶν ὑποκριτῶν, ὡς γέγραπται ⸀ὅτι Οὗτος ὁ λαὸς τοῖς χείλεσίν με τιμᾷ, ἡ δὲ καρδία αὐτῶν πόρρω ἀπέχει ἀπ’ ἐμοῦ· 
Mk 7:7	μάτην δὲ σέβονταί με, διδάσκοντες διδασκαλίας ἐντάλματα ἀνθρώπων· 
Mk 7:8	⸀ἀφέντες τὴν ἐντολὴν τοῦ θεοῦ κρατεῖτε τὴν παράδοσιν τῶν ⸀ἀνθρώπων. 
Mk 7:9	Καὶ ἔλεγεν αὐτοῖς· Καλῶς ἀθετεῖτε τὴν ἐντολὴν τοῦ θεοῦ, ἵνα τὴν παράδοσιν ὑμῶν ⸀τηρήσητε· 
Mk 7:10	Μωϋσῆς γὰρ εἶπεν· Τίμα τὸν πατέρα σου καὶ τὴν μητέρα σου, καί· Ὁ κακολογῶν πατέρα ἢ μητέρα θανάτῳ τελευτάτω· 
Mk 7:11	ὑμεῖς δὲ λέγετε· Ἐὰν εἴπῃ ἄνθρωπος τῷ πατρὶ ἢ τῇ μητρί· Κορβᾶν, ὅ ἐστιν Δῶρον, ὃ ἐὰν ἐξ ἐμοῦ ὠφεληθῇς, 
Mk 7:12	⸀οὐκέτι ἀφίετε αὐτὸν οὐδὲν ποιῆσαι τῷ ⸀πατρὶ ἢ τῇ ⸀μητρί, 
Mk 7:13	ἀκυροῦντες τὸν λόγον τοῦ θεοῦ τῇ παραδόσει ὑμῶν ᾗ παρεδώκατε· καὶ παρόμοια τοιαῦτα πολλὰ ποιεῖτε. 
Mk 7:14	Καὶ προσκαλεσάμενος ⸀πάλιν τὸν ὄχλον ἔλεγεν αὐτοῖς· ⸀Ἀκούσατέ μου πάντες καὶ ⸀σύνετε. 
Mk 7:15	οὐδέν ἐστιν ἔξωθεν τοῦ ἀνθρώπου εἰσπορευόμενον εἰς αὐτὸν ὃ δύναται ⸂κοινῶσαι αὐτόν⸃· ἀλλὰ τὰ ⸂ἐκ τοῦ ἀνθρώπου ἐκπορευόμενά⸃ ἐστιν τὰ κοινοῦντα τὸν ⸀ἄνθρωπον.  
Mk 7:17	Καὶ ὅτε εἰσῆλθεν ⸀εἰς οἶκον ἀπὸ τοῦ ὄχλου, ἐπηρώτων αὐτὸν οἱ μαθηταὶ αὐτοῦ ⸂τὴν παραβολήν⸃. 
Mk 7:18	καὶ λέγει αὐτοῖς· Οὕτως καὶ ὑμεῖς ἀσύνετοί ἐστε; οὐ νοεῖτε ὅτι πᾶν τὸ ἔξωθεν εἰσπορευόμενον εἰς τὸν ἄνθρωπον οὐ δύναται αὐτὸν κοινῶσαι, 
Mk 7:19	ὅτι οὐκ εἰσπορεύεται αὐτοῦ εἰς τὴν καρδίαν ἀλλ’ εἰς τὴν κοιλίαν, καὶ εἰς τὸν ἀφεδρῶνα ἐκπορεύεται; —⸀καθαρίζων πάντα τὰ βρώματα. 
Mk 7:20	ἔλεγεν δὲ ὅτι Τὸ ἐκ τοῦ ἀνθρώπου ἐκπορευόμενον ἐκεῖνο κοινοῖ τὸν ἄνθρωπον· 
Mk 7:21	ἔσωθεν γὰρ ἐκ τῆς καρδίας τῶν ἀνθρώπων οἱ διαλογισμοὶ οἱ κακοὶ ἐκπορεύονται, ⸂πορνεῖαι, κλοπαί, φόνοι, 
Mk 7:22	μοιχεῖαι⸃, πλεονεξίαι, πονηρίαι, δόλος, ἀσέλγεια, ὀφθαλμὸς πονηρός, βλασφημία, ὑπερηφανία, ἀφροσύνη· 
Mk 7:23	πάντα ταῦτα τὰ πονηρὰ ἔσωθεν ἐκπορεύεται καὶ κοινοῖ τὸν ἄνθρωπον. 
Mk 7:24	⸂Ἐκεῖθεν δὲ⸃ ἀναστὰς ἀπῆλθεν εἰς τὰ ⸀ὅρια ⸀Τύρου. καὶ εἰσελθὼν εἰς οἰκίαν οὐδένα ἤθελεν γνῶναι, καὶ οὐκ ἠδυνήθη λαθεῖν· 
Mk 7:25	⸂ἀλλ’ εὐθὺς ἀκούσασα⸃ γυνὴ περὶ αὐτοῦ, ἧς εἶχεν τὸ θυγάτριον αὐτῆς πνεῦμα ἀκάθαρτον, ἐλθοῦσα προσέπεσεν πρὸς τοὺς πόδας αὐτοῦ· 
Mk 7:26	⸂ἡ δὲ γυνὴ ἦν⸃ Ἑλληνίς, Συροφοινίκισσα τῷ γένει· καὶ ἠρώτα αὐτὸν ἵνα τὸ δαιμόνιον ἐκβάλῃ ἐκ τῆς θυγατρὸς αὐτῆς. 
Mk 7:27	⸂καὶ ἔλεγεν⸃ αὐτῇ· Ἄφες πρῶτον χορτασθῆναι τὰ τέκνα, οὐ γάρ ⸂καλόν ἐστιν⸃ λαβεῖν τὸν ἄρτον τῶν τέκνων καὶ ⸂τοῖς κυναρίοις βαλεῖν⸃. 
Mk 7:28	ἡ δὲ ἀπεκρίθη καὶ λέγει αὐτῷ· ⸀Κύριε, ⸀καὶ τὰ κυνάρια ὑποκάτω τῆς τραπέζης ⸀ἐσθίουσιν ἀπὸ τῶν ψιχίων τῶν παιδίων. 
Mk 7:29	καὶ εἶπεν αὐτῇ· Διὰ τοῦτον τὸν λόγον ὕπαγε, ἐξελήλυθεν ⸂ἐκ τῆς θυγατρός σου τὸ δαιμόνιον⸃. 
Mk 7:30	καὶ ἀπελθοῦσα εἰς τὸν οἶκον αὐτῆς εὗρεν τὸ ⸂παιδίον βεβλημένον ἐπὶ τὴν κλίνην καὶ τὸ δαιμόνιον ἐξεληλυθός⸃. 
Mk 7:31	Καὶ πάλιν ἐξελθὼν ἐκ τῶν ὁρίων Τύρου ⸂ἦλθεν διὰ Σιδῶνος εἰς⸃ τὴν θάλασσαν τῆς Γαλιλαίας ἀνὰ μέσον τῶν ὁρίων Δεκαπόλεως. 
Mk 7:32	καὶ φέρουσιν αὐτῷ κωφὸν ⸀καὶ ⸀μογιλάλον, καὶ παρακαλοῦσιν αὐτὸν ἵνα ἐπιθῇ αὐτῷ τὴν χεῖρα. 
Mk 7:33	καὶ ἀπολαβόμενος αὐτὸν ἀπὸ τοῦ ὄχλου κατ’ ἰδίαν ἔβαλεν τοὺς δακτύλους αὐτοῦ εἰς τὰ ὦτα αὐτοῦ καὶ πτύσας ἥψατο τῆς γλώσσης αὐτοῦ, 
Mk 7:34	καὶ ἀναβλέψας εἰς τὸν οὐρανὸν ἐστέναξεν, καὶ λέγει αὐτῷ· Εφφαθα, ὅ ἐστιν Διανοίχθητι· 
Mk 7:35	⸀καὶ ⸀ἠνοίγησαν αὐτοῦ αἱ ἀκοαί, καὶ ἐλύθη ὁ δεσμὸς τῆς γλώσσης αὐτοῦ, καὶ ἐλάλει ὀρθῶς· 
Mk 7:36	καὶ διεστείλατο αὐτοῖς ἵνα μηδενὶ ⸀λέγωσιν· ὅσον δὲ ⸂αὐτοῖς διεστέλλετο, αὐτοὶ⸃ μᾶλλον περισσότερον ἐκήρυσσον. 
Mk 7:37	καὶ ὑπερπερισσῶς ἐξεπλήσσοντο λέγοντες· Καλῶς πάντα πεποίηκεν, καὶ τοὺς κωφοὺς ποιεῖ ἀκούειν ⸀καὶ ἀλάλους λαλεῖν. 
Mk 8:1	Ἐν ἐκείναις ταῖς ἡμέραις ⸂πάλιν πολλοῦ⸃ ὄχλου ὄντος καὶ μὴ ἐχόντων τί φάγωσιν, ⸀προσκαλεσάμενος τοὺς ⸀μαθητὰς λέγει αὐτοῖς· 
Mk 8:2	Σπλαγχνίζομαι ἐπὶ τὸν ὄχλον ὅτι ἤδη ἡμέραι τρεῖς προσμένουσίν μοι καὶ οὐκ ἔχουσιν τί φάγωσιν· 
Mk 8:3	καὶ ἐὰν ἀπολύσω αὐτοὺς νήστεις εἰς οἶκον αὐτῶν, ἐκλυθήσονται ἐν τῇ ὁδῷ· ⸂καί τινες⸃ αὐτῶν ⸀ἀπὸ μακρόθεν ⸀ἥκασιν. 
Mk 8:4	καὶ ἀπεκρίθησαν αὐτῷ οἱ μαθηταὶ αὐτοῦ ⸀ὅτι Πόθεν τούτους δυνήσεταί τις ὧδε χορτάσαι ἄρτων ἐπ’ ἐρημίας; 
Mk 8:5	καὶ ⸀ἠρώτα αὐτούς· Πόσους ἔχετε ἄρτους; οἱ δὲ εἶπαν· Ἑπτά. 
Mk 8:6	καὶ ⸀παραγγέλλει τῷ ὄχλῳ ἀναπεσεῖν ἐπὶ τῆς γῆς· καὶ λαβὼν τοὺς ἑπτὰ ἄρτους εὐχαριστήσας ἔκλασεν καὶ ἐδίδου τοῖς μαθηταῖς αὐτοῦ ἵνα ⸀παρατιθῶσιν καὶ παρέθηκαν τῷ ὄχλῳ. 
Mk 8:7	καὶ εἶχον ἰχθύδια ὀλίγα· καὶ εὐλογήσας ⸀αὐτὰ εἶπεν ⸂καὶ ταῦτα παρατιθέναι⸃. 
Mk 8:8	⸂καὶ ἔφαγον⸃ καὶ ἐχορτάσθησαν, καὶ ἦραν περισσεύματα κλασμάτων ἑπτὰ σπυρίδας. 
Mk 8:9	ἦσαν ⸀δὲ ὡς τετρακισχίλιοι. καὶ ἀπέλυσεν αὐτούς. 
Mk 8:10	καὶ ⸀εὐθὺς ἐμβὰς εἰς τὸ πλοῖον μετὰ τῶν μαθητῶν αὐτοῦ ἦλθεν εἰς τὰ μέρη Δαλμανουθά. 
Mk 8:11	Καὶ ἐξῆλθον οἱ Φαρισαῖοι καὶ ἤρξαντο συζητεῖν αὐτῷ, ζητοῦντες παρ’ αὐτοῦ σημεῖον ἀπὸ τοῦ οὐρανοῦ, πειράζοντες αὐτόν. 
Mk 8:12	καὶ ἀναστενάξας τῷ πνεύματι αὐτοῦ λέγει· Τί ἡ γενεὰ αὕτη ⸂ζητεῖ σημεῖον⸃; ἀμὴν λέγω ⸀ὑμῖν, εἰ δοθήσεται τῇ γενεᾷ ταύτῃ σημεῖον. 
Mk 8:13	καὶ ἀφεὶς αὐτοὺς ⸂πάλιν ἐμβὰς⸃ ἀπῆλθεν εἰς τὸ πέραν. 
Mk 8:14	Καὶ ἐπελάθοντο λαβεῖν ἄρτους, καὶ εἰ μὴ ἕνα ἄρτον οὐκ εἶχον μεθ’ ἑαυτῶν ἐν τῷ πλοίῳ. 
Mk 8:15	καὶ διεστέλλετο αὐτοῖς λέγων· Ὁρᾶτε, βλέπετε ἀπὸ τῆς ζύμης τῶν Φαρισαίων καὶ τῆς ζύμης Ἡρῴδου. 
Mk 8:16	καὶ διελογίζοντο πρὸς ⸀ἀλλήλους ὅτι ἄρτους οὐκ ⸀ἔχουσιν. 
Mk 8:17	καὶ ⸀γνοὺς λέγει αὐτοῖς· Τί διαλογίζεσθε ὅτι ἄρτους οὐκ ἔχετε; οὔπω νοεῖτε οὐδὲ συνίετε; ⸀πεπωρωμένην ἔχετε τὴν καρδίαν ὑμῶν; 
Mk 8:18	ὀφθαλμοὺς ἔχοντες οὐ βλέπετε καὶ ὦτα ἔχοντες οὐκ ἀκούετε; καὶ οὐ μνημονεύετε 
Mk 8:19	ὅτε τοὺς πέντε ἄρτους ἔκλασα εἰς τοὺς πεντακισχιλίους, πόσους κοφίνους ⸂κλασμάτων πλήρεις⸃ ἤρατε; λέγουσιν αὐτῷ· Δώδεκα. 
Mk 8:20	ὅτε ⸀καὶ τοὺς ἑπτὰ εἰς τοὺς τετρακισχιλίους, πόσων σπυρίδων πληρώματα κλασμάτων ἤρατε; ⸂καὶ λέγουσιν αὐτῷ⸃· Ἑπτά. 
Mk 8:21	καὶ ἔλεγεν αὐτοῖς· ⸀Οὔπω συνίετε; 
Mk 8:22	Καὶ ⸀ἔρχονται εἰς Βηθσαϊδάν. καὶ φέρουσιν αὐτῷ τυφλὸν καὶ παρακαλοῦσιν αὐτὸν ἵνα αὐτοῦ ἅψηται. 
Mk 8:23	καὶ ἐπιλαβόμενος τῆς χειρὸς τοῦ τυφλοῦ ⸀ἐξήνεγκεν αὐτὸν ἔξω τῆς κώμης, καὶ πτύσας εἰς τὰ ὄμματα αὐτοῦ, ἐπιθεὶς τὰς χεῖρας αὐτῷ, ἐπηρώτα αὐτόν· Εἴ τι ⸀βλέπεις; 
Mk 8:24	καὶ ἀναβλέψας ἔλεγεν· Βλέπω τοὺς ἀνθρώπους ὅτι ὡς δένδρα ὁρῶ περιπατοῦντας. 
Mk 8:25	εἶτα πάλιν ⸀ἐπέθηκεν τὰς χεῖρας ἐπὶ τοὺς ὀφθαλμοὺς αὐτοῦ, καὶ ⸂διέβλεψεν καὶ ἀπεκατέστη καὶ ἐνέβλεπεν⸃ τηλαυγῶς ⸀ἅπαντα. 
Mk 8:26	καὶ ἀπέστειλεν αὐτὸν ⸀εἰς οἶκον αὐτοῦ λέγων· Μηδὲ εἰς τὴν κώμην ⸀εἰσέλθῃς. 
Mk 8:27	Καὶ ἐξῆλθεν ὁ Ἰησοῦς καὶ οἱ μαθηταὶ αὐτοῦ εἰς τὰς κώμας Καισαρείας τῆς Φιλίππου· καὶ ἐν τῇ ὁδῷ ἐπηρώτα τοὺς μαθητὰς αὐτοῦ λέγων αὐτοῖς· Τίνα με λέγουσιν οἱ ἄνθρωποι εἶναι; 
Mk 8:28	οἱ δὲ ⸂εἶπαν αὐτῷ λέγοντες⸃ ⸀ὅτι Ἰωάννην τὸν βαπτιστήν, καὶ ἄλλοι Ἠλίαν, ἄλλοι δὲ ⸂ὅτι εἷς⸃ τῶν προφητῶν. 
Mk 8:29	καὶ αὐτὸς ⸂ἐπηρώτα αὐτούς⸃· Ὑμεῖς δὲ τίνα με λέγετε εἶναι; ⸀ἀποκριθεὶς ὁ Πέτρος λέγει αὐτῷ· Σὺ εἶ ὁ χριστός. 
Mk 8:30	καὶ ἐπετίμησεν αὐτοῖς ἵνα μηδενὶ λέγωσιν περὶ αὐτοῦ. 
Mk 8:31	Καὶ ἤρξατο διδάσκειν αὐτοὺς ὅτι δεῖ τὸν υἱὸν τοῦ ἀνθρώπου πολλὰ παθεῖν καὶ ἀποδοκιμασθῆναι ⸀ὑπὸ τῶν πρεσβυτέρων καὶ τῶν ἀρχιερέων καὶ τῶν γραμματέων καὶ ἀποκτανθῆναι καὶ μετὰ τρεῖς ἡμέρας ἀναστῆναι· 
Mk 8:32	καὶ παρρησίᾳ τὸν λόγον ἐλάλει. καὶ προσλαβόμενος ⸂ὁ Πέτρος αὐτὸν⸃ ἤρξατο ἐπιτιμᾶν αὐτῷ. 
Mk 8:33	ὁ δὲ ἐπιστραφεὶς καὶ ἰδὼν τοὺς μαθητὰς αὐτοῦ ἐπετίμησεν ⸀Πέτρῳ ⸂καὶ λέγει⸃· Ὕπαγε ὀπίσω μου, Σατανᾶ, ὅτι οὐ φρονεῖς τὰ τοῦ θεοῦ ἀλλὰ τὰ τῶν ἀνθρώπων. 
Mk 8:34	Καὶ προσκαλεσάμενος τὸν ὄχλον σὺν τοῖς μαθηταῖς αὐτοῦ εἶπεν αὐτοῖς· ⸂Εἴ τις⸃ θέλει ὀπίσω μου ⸀ἐλθεῖν, ἀπαρνησάσθω ἑαυτὸν καὶ ἀράτω τὸν σταυρὸν αὐτοῦ καὶ ἀκολουθείτω μοι. 
Mk 8:35	ὃς γὰρ ⸀ἐὰν θέλῃ τὴν ⸂ψυχὴν αὐτοῦ⸃ σῶσαι ἀπολέσει αὐτήν· ὃς δ’ ἂν ⸀ἀπολέσει τὴν ⸄ψυχὴν αὐτοῦ⸅ ἕνεκεν ἐμοῦ καὶ τοῦ εὐαγγελίου ⸀σώσει αὐτήν. 
Mk 8:36	τί γὰρ ⸀ὠφελεῖ ⸀ἄνθρωπον ⸂κερδῆσαι τὸν κόσμον ὅλον καὶ ζημιωθῆναι⸃ τὴν ψυχὴν αὐτοῦ; 
Mk 8:37	⸂τί γὰρ⸃ ⸀δοῖ ἄνθρωπος ἀντάλλαγμα τῆς ψυχῆς αὐτοῦ; 
Mk 8:38	ὃς γὰρ ἐὰν ἐπαισχυνθῇ με καὶ τοὺς ἐμοὺς λόγους ἐν τῇ γενεᾷ ταύτῃ τῇ μοιχαλίδι καὶ ἁμαρτωλῷ, καὶ ὁ υἱὸς τοῦ ἀνθρώπου ἐπαισχυνθήσεται αὐτὸν ὅταν ἔλθῃ ἐν τῇ δόξῃ τοῦ πατρὸς αὐτοῦ μετὰ τῶν ἀγγέλων τῶν ἁγίων. 
Mk 9:1	καὶ ἔλεγεν αὐτοῖς· Ἀμὴν λέγω ὑμῖν ὅτι εἰσίν τινες ⸂τῶν ὧδε⸃ ἑστηκότων οἵτινες οὐ μὴ γεύσωνται θανάτου ἕως ἂν ἴδωσιν τὴν βασιλείαν τοῦ θεοῦ ἐληλυθυῖαν ἐν δυνάμει. 
Mk 9:2	Καὶ μετὰ ἡμέρας ἓξ παραλαμβάνει ὁ Ἰησοῦς τὸν Πέτρον καὶ τὸν Ἰάκωβον ⸀καὶ Ἰωάννην, καὶ ἀναφέρει αὐτοὺς εἰς ὄρος ὑψηλὸν κατ’ ἰδίαν μόνους. καὶ μετεμορφώθη ἔμπροσθεν αὐτῶν, 
Mk 9:3	καὶ τὰ ἱμάτια αὐτοῦ ⸀ἐγένετο στίλβοντα λευκὰ ⸀λίαν οἷα γναφεὺς ἐπὶ τῆς γῆς οὐ δύναται ⸀οὕτως λευκᾶναι. 
Mk 9:4	καὶ ὤφθη αὐτοῖς Ἠλίας σὺν Μωϋσεῖ, καὶ ἦσαν συλλαλοῦντες τῷ Ἰησοῦ. 
Mk 9:5	καὶ ἀποκριθεὶς ὁ Πέτρος λέγει τῷ Ἰησοῦ· Ῥαββί, καλόν ἐστιν ἡμᾶς ὧδε εἶναι, καὶ ποιήσωμεν ⸂τρεῖς σκηνάς⸃, σοὶ μίαν καὶ Μωϋσεῖ μίαν καὶ Ἠλίᾳ μίαν. 
Mk 9:6	οὐ γὰρ ᾔδει τί ⸀ἀποκριθῇ, ⸂ἔκφοβοι γὰρ ἐγένοντο⸃. 
Mk 9:7	καὶ ἐγένετο νεφέλη ἐπισκιάζουσα αὐτοῖς, καὶ ⸀ἐγένετο φωνὴ ἐκ τῆς νεφέλης· Οὗτός ἐστιν ὁ υἱός μου ὁ ἀγαπητός, ⸂ἀκούετε αὐτοῦ⸃. 
Mk 9:8	καὶ ἐξάπινα περιβλεψάμενοι οὐκέτι οὐδένα εἶδον ⸂ἀλλὰ τὸν Ἰησοῦν μόνον μεθ’ ἑαυτῶν⸃. 
Mk 9:9	⸂Καὶ καταβαινόντων⸃ αὐτῶν ⸀ἐκ τοῦ ὄρους διεστείλατο αὐτοῖς ἵνα μηδενὶ ⸂ἃ εἶδον διηγήσωνται⸃, εἰ μὴ ὅταν ὁ υἱὸς τοῦ ἀνθρώπου ἐκ νεκρῶν ἀναστῇ. 
Mk 9:10	καὶ τὸν λόγον ἐκράτησαν πρὸς ἑαυτοὺς συζητοῦντες τί ἐστιν τὸ ἐκ νεκρῶν ἀναστῆναι. 
Mk 9:11	καὶ ἐπηρώτων αὐτὸν λέγοντες· Ὅτι λέγουσιν οἱ γραμματεῖς ὅτι Ἠλίαν δεῖ ἐλθεῖν πρῶτον; 
Mk 9:12	ὁ δὲ ⸀ἔφη αὐτοῖς· Ἠλίας μὲν ἐλθὼν πρῶτον ⸀ἀποκαθιστάνει πάντα, καὶ πῶς γέγραπται ἐπὶ τὸν υἱὸν τοῦ ἀνθρώπου ἵνα πολλὰ πάθῃ καὶ ⸀ἐξουδενηθῇ; 
Mk 9:13	ἀλλὰ λέγω ὑμῖν ὅτι καὶ Ἠλίας ἐλήλυθεν, καὶ ἐποίησαν αὐτῷ ὅσα ⸀ἤθελον, καθὼς γέγραπται ἐπ’ αὐτόν. 
Mk 9:14	Καὶ ⸂ἐλθόντες πρὸς τοὺς μαθητὰς εἶδον⸃ ὄχλον πολὺν περὶ αὐτοὺς καὶ γραμματεῖς συζητοῦντας ⸂πρὸς αὐτούς⸃. 
Mk 9:15	καὶ ⸀εὐθὺς πᾶς ὁ ὄχλος ⸂ἰδόντες αὐτὸν ἐξεθαμβήθησαν⸃, καὶ προστρέχοντες ἠσπάζοντο αὐτόν. 
Mk 9:16	καὶ ἐπηρώτησεν ⸀αὐτούς· Τί συζητεῖτε πρὸς ⸀αὑτούς; 
Mk 9:17	καὶ ⸂ἀπεκρίθη αὐτῷ εἷς ἐκ τοῦ ὄχλου⸃· Διδάσκαλε, ἤνεγκα τὸν υἱόν μου πρὸς σέ, ἔχοντα πνεῦμα ἄλαλον· 
Mk 9:18	καὶ ὅπου ⸀ἐὰν αὐτὸν καταλάβῃ ῥήσσει αὐτόν, καὶ ἀφρίζει καὶ τρίζει τοὺς ⸀ὀδόντας καὶ ξηραίνεται· καὶ εἶπα τοῖς μαθηταῖς σου ἵνα αὐτὸ ἐκβάλωσιν, καὶ οὐκ ἴσχυσαν. 
Mk 9:19	ὁ δὲ ἀποκριθεὶς ⸀αὐτοῖς λέγει· Ὦ γενεὰ ἄπιστος, ἕως πότε πρὸς ὑμᾶς ἔσομαι; ἕως πότε ἀνέξομαι ὑμῶν; φέρετε αὐτὸν πρός με. 
Mk 9:20	καὶ ἤνεγκαν αὐτὸν πρὸς αὐτόν. καὶ ἰδὼν αὐτὸν ⸂τὸ πνεῦμα εὐθὺς⸃ ⸀συνεσπάραξεν αὐτόν, καὶ πεσὼν ἐπὶ τῆς γῆς ἐκυλίετο ἀφρίζων. 
Mk 9:21	καὶ ἐπηρώτησεν τὸν πατέρα αὐτοῦ· Πόσος χρόνος ἐστὶν ὡς τοῦτο γέγονεν αὐτῷ; ὁ δὲ εἶπεν· ⸀Ἐκ παιδιόθεν· 
